dim,ga_mean,ga_std,gb_mean,gb_std,ga_minus_b_mean,ga_minus_b_std,count
242,1.2340119610598776e-05,2.1997379008098505e-05,1.4772401755180908e-06,4.283559519535629e-06,1.0862885574169923e-05,2.0074352505616844e-05,203
243,0.0007915797759778798,0.0014308668905869126,3.137154635624029e-05,5.254047573544085e-05,0.0007602080586366355,0.0014386443654075265,203
244,0.0004183557175565511,0.0004944230895489454,0.00042075675446540117,0.0019993900787085295,-2.40113240579376e-06,0.00210831337608397,203
245,0.000702619319781661,0.002075489377602935,0.001972454832866788,0.0021518769208341837,-0.0012698352802544832,0.003220664570108056,203
246,0.0011352929286658764,0.0014732822310179472,2.071073504339438e-05,4.7475044993916526e-05,0.0011145820608362556,0.0014716314617544413,203
247,0.0001877375616459176,0.0003572634013835341,3.1963111268851208e-06,9.855065400188323e-06,0.00018454126256983727,0.00035665518953464925,203
248,0.007658994756639004,0.01822236366569996,1.6150456758623477e-06,4.854460712522268e-06,0.0076573812402784824,0.018222657963633537,203
249,0.0012338036904111505,0.0018726602429524064,6.182229981277487e-07,2.173432449126267e-06,0.001233185757882893,0.0018722297390922904,203
250,4.1827573227237735e-07,9.188485137201496e-07,7.300149036382209e-07,1.9412420897424454e-06,-3.117394555829378e-07,1.741648247843841e-06,203
251,3.522205531680811e-07,9.490282764090807e-07,1.290774775952741e-06,3.166705027979333e-06,-9.385539669892751e-07,3.0018265988474013e-06,203
252,1.3275210903884727e-06,3.3466858440078795e-06,5.034255536884302e-07,1.8123855625162832e-06,8.240961619776499e-07,2.898382945204503e-06,203
253,3.183662613537308e-07,6.93906599735783e-07,1.2422348163454444e-06,3.2615068903396605e-06,-9.238683560397476e-07,2.9472716960299294e-06,203
254,7.972107027853781e-07,2.1552134512603516e-06,1.42711166972731e-06,4.0335298763238825e-06,-6.29900966941932e-07,3.712639454533928e-06,203
255,1.2663409734159359e-06,2.9048803753539687e-06,1.9631668237707345e-06,5.372810392145766e-06,-6.968258503547986e-07,5.140154826221988e-06,203
256,9.00708109838888e-05,0.00017459887021686882,9.641358929002308e-07,2.6505931600695476e-06,8.91066956683062e-05,0.00017431759624741971,203
257,2.2790380171500146e-05,5.318572584656067e-05,5.843613962497329e-06,1.71376159414649e-05,1.694675665930845e-05,5.073618740425445e-05,203
258,3.7113022699486464e-05,8.189744403352961e-05,1.3555377336160745e-06,3.516981450957246e-06,3.575748996809125e-05,8.102252468233928e-05,203
259,9.56492954173882e-07,2.4134983505064156e-06,9.194520202981948e-07,2.3669099391554482e-06,3.7040472022908943e-08,2.665075044205878e-06,203
260,0.0009562670602463186,0.001671917038038373,9.459074021833658e-07,2.9657567210961133e-06,0.0009553213021717966,0.0016720020212233067,203
261,7.328669084927242e-07,2.237384933323483e-06,0.03507469967007637,0.11434728652238846,-0.035073962062597275,0.1143474206328392,203
262,7.727988986516721e-07,2.028176368185086e-06,0.0009170048870146275,0.0010842777555808425,-0.0009162321803160012,0.0010837857844308019,203
263,0.009804376401007175,0.012491694651544094,4.527432338363724e-06,1.1153370905958582e-05,0.009799843654036522,0.0124922851100564,203
264,0.0030839883256703615,0.004126594867557287,0.002547650132328272,0.005192507058382034,0.0005363388918340206,0.006613599602133036,203
265,0.010180031880736351,0.016204264014959335,0.00031898761517368257,0.0006930801318958402,0.009861046448349953,0.01627245359122753,203
266,0.00033579274895600975,0.0007839475874789059,0.0017408988205716014,0.004226366523653269,-0.0014051059260964394,0.004346930887550116,203
267,0.0002260360197396949,0.000709034560713917,0.012482970952987671,0.02211795747280121,-0.01225693803280592,0.02219473570585251,203
268,0.014018279500305653,0.01684165745973587,0.002059660851955414,0.006491563282907009,0.011958615854382515,0.01904892362654209,203
269,4.936183904646896e-05,0.0001677803957136348,0.02197052724659443,0.0477992407977581,-0.02192116528749466,0.04781554639339447,203
270,0.0030926133040338755,0.0032406258396804333,8.675487333675846e-05,0.00019888565293513238,0.0030058585107326508,0.003286556573584676,203
271,0.0001585864956723526,0.0003543614875525236,1.2170271475042682e-05,2.8339187338133343e-05,0.00014641621964983642,0.00035632497747428715,203
272,0.001324568293057382,0.002978420350700617,0.0064698755741119385,0.06987043470144272,-0.0051453085616230965,0.07004956901073456,203
273,0.001759720267727971,0.0032081000972539186,0.00018554778944235295,0.00048527659964747727,0.0015741720562800765,0.0032595910597592592,203
274,6.161193368825479e-07,1.8144249906981713e-06,1.4222445088307722e-06,3.566391569620464e-06,-8.061251151048054e-07,3.445000629653805e-06,203
275,1.1496076695038937e-06,3.42262660524284e-06,7.33421475160867e-05,0.00012766651343554258,-7.219252438517287e-05,0.00012733506446238607,203
276,1.3777644198853523e-05,3.4743316064123064e-05,5.935778517596191e-07,1.955917468876578e-06,1.3184064300730824e-05,3.410034332773648e-05,203
277,0.0003097635053563863,0.00042912346543744206,6.541753805322514e-07,1.9655979031085735e-06,0.00030910930945537984,0.00042864211718551815,203
278,6.630418738495791e-07,1.8658404314919608e-06,1.3684141322301002e-06,3.7512704693654086e-06,-7.053719173200079e-07,3.2559903502260568e-06,203
279,7.05398008449265e-07,1.8028595150099136e-06,1.779318608896574e-06,4.519388312473893e-06,-1.0739205436038901e-06,3.864015525323339e-06,203
280,9.303270189775503e-07,2.2590081698581344e-06,7.725394084445725e-07,2.8495928745542187e-06,1.5778735473759298e-07,2.8626056973735103e-06,203
281,6.933086069693672e-07,1.6705330381228123e-06,3.627559408414527e-07,1.195686422761355e-06,3.30552694549624e-07,1.5492603324673837e-06,203
282,1.019191358864191e-06,2.5491249289189e-06,1.2710624105238821e-05,3.593892324715853e-05,-1.1691437066474464e-05,3.553146234480664e-05,203
283,9.701924682303797e-06,2.112191214109771e-05,3.8896044429748144e-07,1.1572496987355407e-06,9.312965630670078e-06,2.081024467770476e-05,203
284,1.6030522829169058e-06,3.4377810607111314e-06,1.3073761692794506e-05,3.462063614279032e-05,-1.1470713616290595e-05,3.3731310395523906e-05,203
285,2.5832190658547916e-05,5.7530749472789466e-05,1.1401201618355117e-06,3.2944112717814278e-06,2.469207720423583e-05,5.600836084340699e-05,203
286,0.0005809306167066097,0.001110899611376226,6.701509846607223e-06,1.7937760276254267e-05,0.0005742291104979813,0.0011048833839595318,203
287,5.5321383115369827e-05,0.00012740251258946955,3.0234994028432993e-06,6.9529401116597e-06,5.229788803262636e-05,0.0001247404725290835,203
288,3.677189113204804e-07,9.978969046642305e-07,0.002403656020760536,0.0029106801375746727,-0.0024032883811742067,0.002910435665398836,203
289,0.005703921429812908,0.009622335433959961,1.3055763474767446e-06,4.217258720018435e-06,0.0057026175782084465,0.009622275829315186,203
290,0.008300874382257462,0.012380523607134819,1.5573132259305567e-06,4.873420493822778e-06,0.008299311622977257,0.012380247004330158,203
291,0.02883334644138813,0.04113851487636566,0.00010526552068768069,0.00023414664610754699,0.028728090226650238,0.041147179901599884,203
292,0.00011786515824496746,0.0001675899256952107,0.00026533828349784017,0.00034210534067824483,-0.00014747313980478793,0.00035180465783923864,203
293,0.03148302435874939,0.0475553534924984,0.0012579942122101784,0.002321651903912425,0.03022504411637783,0.047900255769491196,203
294,0.0006701094680465758,0.0040464382618665695,0.003495573764666915,0.008563951589167118,-0.0028254638891667128,0.009525543078780174,203
295,0.0013781230663880706,0.0015663974918425083,0.0001750164810800925,0.0005098423571325839,0.0012031067162752151,0.0016767325578257442,203
296,2.7302608941681683e-05,8.480358519591391e-05,0.0023156926035881042,0.002202632138505578,-0.0022883901838213205,0.0022150964941829443,203
297,2.6712552426033653e-05,6.162216595839709e-05,0.02359846420586109,0.035879332572221756,-0.023571737110614777,0.03588244318962097,203
298,0.0002544228918850422,0.0004312449018470943,0.04345492646098137,0.06712926924228668,-0.043200522661209106,0.06719674170017242,203
299,0.011122681200504303,0.023054057732224464,0.00023435485491063446,0.0004707316111307591,0.010888328775763512,0.02313842624425888,203
300,0.002159291645511985,0.00626450264826417,0.0005190009833313525,0.0006067972281016409,0.001640290953218937,0.0063578784465789795,203
301,0.0021715678740292788,0.0033806348219513893,0.0003245944972150028,0.0009055272676050663,0.0018469745991751552,0.003551478497684002,203
302,0.0015681814402341843,0.002507317578420043,0.0004685440508183092,0.001599914743565023,0.001099637825973332,0.0030827969312667847,203
303,4.9751843107515015e-06,1.10832543214201e-05,0.0009261557133868337,0.0028742305003106594,-0.0009211807046085596,0.002874245634302497,203
304,0.0020144737791270018,0.003214891068637371,1.3605147159978515e-06,3.79328753297159e-06,0.002013113582506776,0.0032144447322934866,203
305,7.104855285433587e-06,1.3035398296779022e-05,1.577596549395821e-06,4.25660255132243e-06,5.527256689674687e-06,1.2465599866118282e-05,203
306,3.934769665647764e-07,1.0903565907938173e-06,5.161521130503388e-06,1.389087992720306e-05,-4.768043709191261e-06,1.3479514564096462e-05,203
307,4.897386247648683e-07,1.26230452224263e-06,4.947780780639732e-07,1.539243839943083e-06,-5.039505701631697e-09,1.6606512645012117e-06,203
308,8.551207884011092e-07,1.681343405834923e-06,8.750027404857974e-07,2.5332574296044186e-06,-1.9881683854805487e-08,2.40776785176422e-06,203
309,5.221772312324902e-07,1.4773308976145927e-06,1.1991859310001018e-06,3.463876055320725e-06,-6.770085292373551e-07,3.0886362765158992e-06,203
