dim,ga_mean,ga_std,gb_mean,gb_std,ga_minus_b_mean,ga_minus_b_std,count
122,1.7688462321530096e-06,6.429465884139063e-06,2.716479308162434e-08,1.117738790412659e-07,1.7416820128346444e-06,6.321766704786569e-06,59
123,1.7009642760967836e-06,6.8130207182548475e-06,6.394638063511593e-08,1.967136284974913e-07,1.6370179309888044e-06,6.635410954913823e-06,59
124,8.77075672178762e-06,2.5307981559308246e-05,5.56666073237011e-08,1.845843939918268e-07,8.715088370081503e-06,2.513901563361287e-05,59
125,2.1287165452577028e-07,1.1090294265159173e-06,1.0688975038419812e-07,3.294493637895357e-07,1.0598188282529009e-07,8.250357836914191e-07,59
126,3.5422024780018546e-07,1.794812988009653e-06,2.955203854071442e-06,6.996885531407315e-06,-2.600983179945615e-06,5.636904461425729e-06,59
127,1.7461582046962576e-06,6.714474238833645e-06,2.9533241630019802e-08,1.1175282566000533e-07,1.716624751679774e-06,6.6097827584599145e-06,59
128,2.5314434992651513e-07,1.174974158857367e-06,9.422308266948676e-07,2.505180191292311e-06,-6.890863346598053e-07,1.595436287971097e-06,59
129,2.571821084984549e-07,1.1968900253123138e-06,8.206207553485001e-07,2.330449660803424e-06,-5.634387889585923e-07,1.3784298289465369e-06,59
130,1.401896412289716e-07,7.315567245314014e-07,2.2465172833108227e-07,6.482599133050826e-07,-8.446207289125596e-08,3.604812945923186e-07,59
131,1.7002137155941455e-06,6.499427399830893e-06,3.57966314368241e-08,1.2267327065274003e-07,1.664416458879714e-06,6.386063887475757e-06,59
132,2.7576083994063083e-07,1.2520085874712095e-06,2.2697638257795916e-07,5.961318265690352e-07,4.8784457362671674e-08,8.339455348504998e-07,59
133,2.48307742367615e-07,1.2573199228427256e-06,6.510494188205485e-08,2.2585861358948023e-07,1.8320277206385072e-07,1.049003572006768e-06,59
134,1.4788761859563238e-07,7.306268798856763e-07,5.248860190931737e-08,1.8194468509591388e-07,9.539903089716972e-08,5.634448712044104e-07,59
135,1.263979640953039e-07,6.227078870324476e-07,1.2819488404147705e-07,4.29981525940093e-07,-1.7968999621587045e-09,2.610231888411363e-07,59
136,3.470601654953498e-07,1.5939779132168042e-06,6.594773793722197e-08,2.0981059378755162e-07,2.8111230676586274e-07,1.4072367093831417e-06,59
137,5.0608014134923e-07,1.9495207652653335e-06,5.177020057089976e-08,1.7461233881022054e-07,4.5430999762174906e-07,1.7893016774905846e-06,59
138,1.1626280382870391e-07,6.108936076998361e-07,1.5349483817317378e-07,4.995275162400503e-07,-3.72320450026109e-08,2.3145993566231482e-07,59
139,2.2317323100651265e-07,1.1216886832698947e-06,8.825314523619454e-08,3.0531580819115334e-07,1.349200715594634e-07,8.448370749647438e-07,59
140,2.0747060602843703e-07,9.632135515857954e-07,4.800604358479177e-08,1.6793416079963208e-07,1.594646050762094e-07,8.078030759861576e-07,59
141,3.795631187131221e-07,1.7456324030717951e-06,6.602942193012495e-08,2.280832376300168e-07,3.135337180992792e-07,1.533614749860135e-06,59
142,1.8606627349981864e-07,8.708789778211212e-07,3.75541269193036e-08,1.4707141815506475e-07,1.4851219987122022e-07,7.302226663341571e-07,59
143,1.4558968075562007e-07,7.368564070020511e-07,5.067450459250722e-08,1.835312559705926e-07,9.49151512941171e-08,5.650064736073546e-07,59
144,1.9776601334342558e-07,9.8700968464982e-07,4.764185135286425e-08,1.7810349106639478e-07,1.5012412291071087e-07,8.191447022909415e-07,59
145,1.1391372822799894e-07,5.983836786072061e-07,4.7398586389135744e-08,1.6885020670542872e-07,6.651514894429056e-08,4.4508854557534505e-07,59
146,2.0423600233243633e-07,1.0549282478677924e-06,1.1665982668773722e-07,3.655535181223968e-07,8.757616853927175e-08,7.367638090727269e-07,59
147,3.334981499847345e-07,1.4962946579544223e-06,4.5434589424075966e-08,1.58243921077883e-07,2.8806360319322266e-07,1.3486286434272188e-06,59
148,1.8485947350654897e-07,9.086596151064441e-07,5.282335990841602e-08,1.8766375831091864e-07,1.320361207035603e-07,7.322629471673281e-07,59
149,1.0212647083562842e-07,5.689431645805598e-07,5.604421176030883e-07,1.5191438933470636e-06,-4.5831569650545134e-07,1.0563367141003255e-06,59
150,7.543842173163284e-08,3.891116477916512e-07,3.800929107455886e-06,9.995605068979785e-06,-3.725490387296304e-06,9.640603821026161e-06,59
151,2.531160703256319e-07,1.21811683584383e-06,1.2044391439758328e-07,3.8662645351905667e-07,1.326721701389033e-07,8.755645808378176e-07,59
152,0.0001355027488898486,0.00025778080453164876,1.0450749243773316e-07,3.252649207752256e-07,0.00013539823703467846,0.0002575272519607097,59
153,6.271131860557944e-05,0.0001320596202276647,9.651015488998382e-07,2.3527034045400796e-06,6.174620648380369e-05,0.00013028089597355574,59
154,0.00013454665895551443,0.00017829251009970903,0.03171917051076889,0.031535323709249496,-0.03158462420105934,0.031460635364055634,59
155,1.804142925720953e-06,6.262293936742935e-06,3.043560127480305e-06,7.164579983509611e-06,-1.2394177701935405e-06,4.065570919919992e-06,59
156,1.7968140753055195e-07,8.795066150923958e-07,3.9218699384946376e-05,6.962177576497197e-05,-3.90390123357065e-05,6.904824113007635e-05,59
157,1.9207688239930576e-07,9.453036113882263e-07,2.5855724743450992e-05,5.3236410167301074e-05,-2.5663657652330585e-05,5.2520368626574054e-05,59
158,4.4544330535245535e-07,1.83388976893184e-06,1.6441755406049197e-06,4.448337222129339e-06,-1.1987323205175926e-06,2.9257600999699207e-06,59
159,3.044645495720033e-07,1.4397028280654922e-06,1.2632060588657623e-06,3.3899902973644203e-06,-9.587416798240156e-07,2.2224842268769862e-06,59
160,5.055396741227014e-07,2.298125991728739e-06,7.154586256774564e-08,2.489714461262338e-07,4.339937049735454e-07,2.063396550511243e-06,59
161,4.938914912600012e-07,2.126379058609018e-06,1.583286319828403e-07,5.09515018620732e-07,3.355627882228873e-07,1.6569481431361055e-06,59
162,2.4518789132343954e-07,1.0691728675737977e-06,4.6750024296216e-08,1.6802987090613897e-07,1.984378599217962e-07,9.10320125058206e-07,59
163,3.910606380941317e-07,1.8310568066226551e-06,4.713271195555535e-08,1.4624794175688294e-07,3.439279225858627e-07,1.703829298094206e-06,59
164,5.739536277360457e-07,2.4519947601220338e-06,5.126146973566392e-08,1.8134498702693236e-07,5.226923462942068e-07,2.2803112642577616e-06,59
165,2.2102095442733116e-07,1.1054397646148573e-06,8.961190189893387e-08,3.230789786812238e-07,1.31409066739252e-07,8.057788818405243e-07,59
166,3.6525867130876577e-07,1.6084047729236772e-06,4.53317205995063e-08,1.507251283783262e-07,3.199269258402637e-07,1.4707726450069458e-06,59
167,2.3906085289127077e-07,1.1017506267307908e-06,5.0000078744005805e-08,1.876983048987313e-07,1.8906074217284186e-07,9.226633892467362e-07,59
168,2.532923701892287e-07,1.2303261200941051e-06,8.622112090961309e-08,2.8004507157675107e-07,1.670712634904703e-07,9.760533430380747e-07,59
169,3.165150701534003e-07,1.5089809721757774e-06,4.393269037450409e-08,1.501953761362529e-07,2.7258244017502875e-07,1.3710999837712734e-06,59
170,6.379491992447583e-07,2.703877044041292e-06,6.29873824209426e-08,2.394907880898245e-07,5.749618594563799e-07,2.4735529677855084e-06,59
171,1.998342753495308e-07,9.417170758752036e-07,4.9100506771537766e-08,1.7668995155872835e-07,1.5073376857799303e-07,7.761659048810543e-07,59
172,1.9881269963661907e-07,1.0093057198901079e-06,4.265155695293288e-08,1.631003243574014e-07,1.5616114978911355e-07,8.542121463506192e-07,59
173,7.767893634991196e-07,3.25760788655316e-06,4.076397175367674e-08,1.519157990514941e-07,7.360252425314684e-07,3.1122149266593624e-06,59
174,1.7526120643651666e-07,8.018931225706183e-07,9.290669567008081e-08,3.147724214613845e-07,8.235448945015378e-08,5.17323258009128e-07,59
175,0.0016289573395624757,0.001963880844414234,1.5799221486645365e-08,5.7624987448434695e-08,0.0016289415070787072,0.001963868737220764,59
176,1.3945678745130863e-07,7.495780778299377e-07,7.162786914705066e-07,1.9014199779121554e-06,-5.768220603385998e-07,1.2929607464684523e-06,59
177,2.463423243170837e-07,1.1684537639666814e-06,6.171836162138788e-07,1.8380256960881525e-06,-3.708410645231197e-07,8.512627118761884e-07,59
178,3.2716559417167446e-07,1.5118339433684014e-06,1.3477369975589681e-07,4.302936531530577e-07,1.9239180915064935e-07,1.1238071238039993e-06,59
179,1.319464536209125e-05,3.778450991376303e-05,2.3076661648246954e-07,7.921140650068992e-07,1.2963873814442195e-05,3.7046847864985466e-05,59
180,1.0526755289674838e-07,5.434328045339498e-07,1.4006674291522359e-06,3.691197889565956e-06,-1.295399670198094e-06,3.2262769309454598e-06,59
181,4.648445042221283e-07,2.0110164768993855e-06,3.96884061046876e-05,7.1776143158786e-05,-3.922356336261146e-05,7.016422023298219e-05,59
182,0.0001643955329200253,0.00031580767245031893,2.3241650524141733e-06,4.7999915295804385e-06,0.0001620713883312419,0.00031301937997341156,59
183,1.296256527894002e-06,4.476751200854778e-06,2.6269997761119157e-05,5.059756222181022e-05,-2.4973738618427888e-05,4.746708873426542e-05,59
184,7.2284483394469135e-06,1.4527989151247311e-05,6.234652119019302e-06,1.5909447029116563e-05,9.937971299223136e-07,1.5350966350524686e-05,59
185,3.36280237434039e-07,1.7771112652553711e-06,1.0971171349183351e-07,3.370959404946916e-07,2.26568474204214e-07,1.4888493069520337e-06,59
186,9.010963367472868e-06,1.7862083041109145e-05,0.0002765532408375293,0.00039449852192774415,-0.0002675423165783286,0.0003901670570485294,59
187,2.8154563551652245e-06,1.3475756531988736e-05,7.651553346477158e-08,2.3556596318030643e-07,2.738941020652419e-06,1.3268509064801037e-05,59
188,0.03179405629634857,0.034455280750989914,7.634396581579495e-08,2.2763344986742595e-07,0.0317939817905426,0.03445528820157051,59
